代碼,名稱,產業,市場,題材(L2),tech,supply
2327,國巨*,電子零組件業,TWSE,"MLCC, 晶片電阻, 被動元件, 鉭質電解電容, 電容, 電感","EV, 被動元件, MLCC",
2328,廣宇,電子零組件業,TWSE,"連接器, 連接線材, 電子製造服務, 電子零件元件, 電腦系統業","AI伺服器, 伺服器, 連接器",
2329,華泰,半導體業,TWSE,"IC封裝, IC封裝測試, IC測試, 電子製造服務, 電腦系統業","CoWoS, AI伺服器, ADAS, 車用電子, 伺服器, 封測, 記憶體, PCB",
2330,台積電,半導體業,TWSE,"IC製造, 晶圓代工","CoWoS, 先進封裝, IC設計, 矽光子, 晶圓代工",
2331,精英,電腦及週邊設備業,TWSE,"主機板, 平板電腦, 桌上型電腦, 消費性電子產品, 筆記型電腦製造, 繪圖卡, 電腦系統業",低軌衛星,
2332,友訊,通信網路業,TWSE,"安全監控, 工業電腦, 無線網路設備系統(WLAN), 網路交換器, 網通設備, 資安設備","光通訊, CPO, AI伺服器, 伺服器, 光纖",
2337,旺宏,半導體業,TWSE,"IC製造, 非揮發性記憶體","DRAM, NAND Flash, 記憶體, 矽光子, 低軌衛星, 面板",
2338,光罩,半導體業,TWSE,"IC製造, 光罩","矽光子, 光通訊, 先進封裝",
2340,台亞,半導體業,TWSE,"LED, LED晶粒, LED照明產品, 二極體, 分離式元件, 電晶體","Micro LED, GaN, SiC, 車用電子, LED, 矽光子, CPO, InP",NVIDIA供應鏈
2342,茂矽,半導體業,TWSE,"IC製造, 晶圓代工","車用電子, 晶圓代工",
2344,華邦電,半導體業,TWSE,"DRAM, IC製造, 非揮發性記憶體","DRAM, NAND Flash, 記憶體",
2345,智邦,通信網路業,TWSE,"網路交換器, 網通設備","光通訊, CPO",
2347,聯強,電子通路業,TWSE,"IC零組件通路商, 手機零售通路商, 電子元件代理商, 電子通路, 電腦通路商",記憶體,
2348,海悅,其他業,TWSE,"地產, 房屋代銷, 營建",營建,
2349,錸德,光電業,TWSE,"儲存設備, 光碟片, 硬碟相關, 記憶卡, 週邊產品","太陽能, 儲能, 記憶體",
2351,順德,半導體業,TWSE,"傳產其他, 封測服務與材料, 導線架, 文具","AI伺服器, 伺服器, 均熱片, 封測",
2352,佳世達,電腦及週邊設備業,TWSE,"LCD顯示器, 其他醫療器材, 安全監控, 工業電腦, 掃瞄器, 網通設備, 診斷與監測用醫材, 週邊產品, 醫學影像裝置, 醫療服務, 醫療管理服務, 醫療耗材, 電子製造服務, 電腦系統業, 顯示器","AI伺服器, 伺服器, 低軌衛星",
2353,宏��,電腦及週邊設備業,TWSE,"AI伺服器, 伺服器, 平板電腦, 投影機, 教育筆電, 桌上型電腦, 消費性電子產品, 筆記型電腦, 週邊產品, 電競筆電, 電競週邊, 電腦系統業, 顯示器","記憶體, AI伺服器, 伺服器",
2354,鴻準,其他電子業,TWSE,"散熱模組, 筆記型電腦用散熱模組, 鎂鋁合金, 電子製造服務, 電子零件元件, 電腦系統業","AI伺服器, 伺服器, 散熱, 液冷散熱",
2355,敬鵬,電子零組件業,TWSE,"印刷電路板, 印刷電路板相關","低軌衛星, 伺服器, PCB, EV, 車用電子",
2356,英業達,電腦及週邊設備業,TWSE,"AI伺服器, 伺服器, 筆記型電腦製造, 電子製造服務, 電腦系統業","AI伺服器, 伺服器","Meta供應鏈, 微軟供應鏈"
2357,華碩,電腦及週邊設備業,TWSE,"AI伺服器, 主機板, 手機, 教育筆電, 智慧型手機, 智慧手錶, 桌上型電腦, 穿戴式裝置, 筆記型電腦, 繪圖卡, 週邊產品, 電競筆電, 電競週邊, 電腦系統業","OLED, 伺服器, 資料中心, LED, AI伺服器",Meta供應鏈
2359,所羅門,其他電子業,TWSE,"LCM, 協作機器人, 機器人, 產業機械, 自動化設備, 軟體業, 電力設備, 電子元件代理商, 電子通路, 電機, 面板業",面板,
2360,致茂,其他電子業,TWSE,"設備儀器商, 量測儀器",CPO,NVIDIA供應鏈
2362,藍天,電腦及週邊設備業,TWSE,"地產, 物業投資發展, 筆記型電腦製造, 資產股, 電腦系統業",散熱,
2363,矽統,半導體業,TWSE,"IC設計, MEMS, 繪圖IC, 觸控IC",IC設計,
2364,倫飛,電腦及週邊設備業,TWSE,"工業電腦, 強固電腦, 電腦系統業",工業電腦,
2365,昆盈,電腦及週邊設備業,TWSE,"滑鼠, 行車紀錄器, 車用電子, 週邊產品, 鍵盤, 電競週邊",車用電子,
2367,燿華,電子零組件業,TWSE,"印刷電路板, 印刷電路板相關","低軌衛星, 伺服器, PCB, AI伺服器, 車用電子, 資料中心",
2368,金像電,電子零組件業,TWSE,"印刷電路板, 印刷電路板相關","AI伺服器, 伺服器, PCB",
2369,菱生,半導體業,TWSE,"IC封裝, IC封裝測試, IC測試","CoWoS, 封測, 記憶體, 先進封裝, 車用電子",
2371,大同,電機機械,TWSE,"充電樁, 冷氣機, 家電, 小家電, 智慧電網相關, 液晶電視, 系統整合, 變電設備, 變頻器, 資產股, 車用充電相關, 軟體業, 配電工程, 配電盤, 重電設備, 電力設備, 電子元件代理商, 電子通路, 電機, 電氣開關設備, 電線電纜","資料中心, 車用電子",
2373,震旦行,其他電子業,TWSE,"家居用品, 辦公室傢俱, 辦公用品設備, 電子其他",,
2374,佳能,光電業,TWSE,"光學元件, 光學鏡片／頭, 手機鏡頭模組, 手機零組件, 數位相機, 數位相機組裝","車用電子, 光學鏡頭",
2375,凱美,電子零組件業,TWSE,"散熱模組, 散熱風扇馬達, 晶片電阻, 被動元件, 鋁質電解電容","EV, 被動元件, AI伺服器, 車用電子, 伺服器, 散熱",
2376,技嘉,電腦及週邊設備業,TWSE,"AI伺服器, 主機板, 伺服器, 筆記型電腦, 繪圖卡, 週邊產品, 電競筆電, 電競週邊, 電腦系統業","AI伺服器, 伺服器, 散熱",NVIDIA供應鏈
2377,微星,電腦及週邊設備業,TWSE,"主機板, 伺服器, 桌上型電腦, 筆記型電腦, 繪圖卡, 週邊產品, 電競筆電, 電競週邊, 電腦系統業","散熱, 伺服器","AMD供應鏈, Meta供應鏈"
2379,瑞昱,半導體業,TWSE,"IC設計, LCD控制IC, PC週邊IC, 安全監控IC, 影音IC, 數位電視IC, 無線網路IC, 網路卡IC, 網路通訊IC, 集線器IC","ADAS, 車用電子, IC設計, 記憶體",NVIDIA供應鏈
2380,虹光,電腦及週邊設備業,TWSE,"事務機器, 掃瞄器, 週邊產品, 電子其他",,
2382,廣達,電腦及週邊設備業,TWSE,"AI伺服器, 伺服器, 筆記型電腦製造, 電子製造服務, 電腦系統業","AI伺服器, 伺服器","NVIDIA供應鏈, Meta供應鏈"
2383,台光電,電子零組件業,TWSE,"印刷電路板相關, 銅箔基板","低軌衛星, AI伺服器, 伺服器, PCB",
